,genre,artist_name,track_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,preference,prediction
228146,Soul,Zachary Knowles,wake up,0.35700000000000004,0.8540000000000001,0.33899999999999997,0.0,A#,0.0573,-8.152000000000001,Major,0.0619,115.007,4/4,0.341,0,1
228267,Soul,Allen Toussaint,Southern Nights - Remastered Version,0.797,0.611,0.361,0.622,C#,0.0823,-12.958,Major,0.0285,85.786,4/4,0.485,0,1
228343,Soul,Nina Simone,Just Like a Woman - Remastered,0.434,0.457,0.379,0.000276,F#,0.20199999999999999,-13.618,Major,0.0342,78.49,3/4,0.363,0,1
228700,Soul,Electric Guest,Zero,0.696,0.7859999999999999,0.327,4.54e-06,C,0.107,-8.101,Minor,0.0335,122.006,4/4,0.428,0,1
228873,Soul,Ben Webster,Sunday,0.7090000000000001,0.637,0.303,4.53e-06,C,0.273,-16.793,Minor,0.042,104.515,4/4,0.82,0,1
229106,Soul,EXES,One Day,0.8959999999999999,0.708,0.249,0.000229,B,0.215,-14.498,Major,0.0373,104.999,4/4,0.423,0,1
229124,Soul,Jackie Wilson,Reet Petite,0.389,0.6779999999999999,0.6829999999999999,0.0,F,0.135,-5.417999999999999,Major,0.16699999999999998,85.969,4/4,0.8420000000000001,0,1
229172,Soul,Aretha Franklin,Let It Be,0.337,0.415,0.305,0.000172,E,0.20800000000000002,-12.833,Major,0.031,76.743,4/4,0.434,0,1
229339,Soul,Common Souls,VLS,0.843,0.599,0.214,0.00576,E,0.10400000000000001,-12.538,Major,0.0336,139.952,4/4,0.0582,0,1
229342,Soul,Jamie Foxx,Slow,0.258,0.769,0.32899999999999996,2.12e-05,C#,0.16699999999999998,-8.65,Major,0.0499,99.88799999999999,4/4,0.319,0,1
229648,Soul,Awae,Hold Me,0.467,0.6829999999999999,0.479,0.00928,A#,0.204,-7.6610000000000005,Major,0.0803,85.035,4/4,0.11900000000000001,0,1
229788,Soul,Oscar Peterson Trio,Triste,0.856,0.441,0.321,0.8540000000000001,A#,0.23600000000000002,-19.455,Major,0.0324,89.77600000000001,4/4,0.594,0,1
229876,Soul,Mandrill,Fencewalk,0.375,0.586,0.601,0.0355,G,0.0668,-10.585999999999999,Major,0.0634,105.837,4/4,0.963,0,1
229906,Soul,Etta James,My Dearest Darling,0.693,0.42100000000000004,0.349,6.89e-06,G#,0.242,-8.588,Major,0.0311,104.721,3/4,0.581,0,1
229941,Soul,ANIMA!,Pencils,0.201,0.662,0.632,0.018000000000000002,C#,0.161,-9.65,Minor,0.0296,109.0,4/4,0.35100000000000003,0,1
230265,Soul,070 Shake,Trust Nobody,0.193,0.7040000000000001,0.442,0.0,A#,0.10400000000000001,-8.169,Minor,0.0337,112.969,4/4,0.342,0,1
230682,Soul,Belly,Frozen Water,0.183,0.826,0.39899999999999997,0.023,C,0.318,-10.22,Minor,0.062,127.963,4/4,0.12300000000000001,0,1
230785,Soul,Rag'n'Bone Man,Human - Rudimental Remix,0.0228,0.642,0.8340000000000001,0.0,A#,0.126,-5.281000000000001,Minor,0.0674,79.982,4/4,0.58,0,1
230968,Soul,Jelani Aryeh,Delusions,0.22899999999999998,0.5670000000000001,0.425,0.00659,A,0.0959,-6.947,Minor,0.0921,90.01899999999999,4/4,0.43200000000000005,0,1
231035,Soul,Riz La Vie,Yada Yada,0.6709999999999999,0.721,0.363,1.67e-05,E,0.16399999999999998,-8.799,Minor,0.124,73.993,4/4,0.106,0,1
231067,Soul,Sade,Long Hard Road,0.7659999999999999,0.645,0.23800000000000002,0.000341,G#,0.113,-12.853,Minor,0.0316,123.90299999999999,4/4,0.23,0,1
231105,Soul,ODIE,Northface,0.792,0.802,0.382,0.163,A#,0.0783,-7.356,Major,0.0312,99.969,4/4,0.581,0,1
231162,Soul,Surfaces,Kid Kingdoms (Acoustic),0.861,0.7559999999999999,0.256,0.005520000000000001,C,0.10099999999999999,-8.923,Major,0.0452,79.922,4/4,0.265,0,1
231490,Soul,Sunny & The Sunliners,Should I Take You Home,0.706,0.315,0.7140000000000001,3.73e-05,A#,0.0477,-6.794,Major,0.0511,187.05,4/4,0.7859999999999999,0,1
231875,Soul,Mint Condition,If You Love Me,0.606,0.442,0.585,5.85e-05,F#,0.185,-6.0120000000000005,Major,0.0305,118.736,4/4,0.233,0,1
231908,Soul,Thee Midniters,The Town I Live In,0.0536,0.5820000000000001,0.456,0.000366,F,0.23399999999999999,-8.463,Minor,0.0255,93.81700000000001,3/4,0.654,0,1
231987,Soul,Kem,Heaven,0.413,0.816,0.33,3.32e-06,G#,0.10400000000000001,-7.289,Major,0.052000000000000005,132.122,4/4,0.182,0,1
232077,Soul,Erykah Badu,Me,0.53,0.439,0.5920000000000001,1.7e-06,D,0.23800000000000002,-9.535,Major,0.321,94.40299999999999,4/4,0.53,0,1
232135,Soul,Johnny Griffin,Nice And Easy - Rudy Van Gelder Edition/Remastered 2006,0.807,0.624,0.358,0.389,F,0.106,-9.243,Minor,0.0396,123.666,4/4,0.506,0,1
232259,Soul,Total,Sitting Home,0.371,0.552,0.672,0.0159,A#,0.0671,-9.772,Minor,0.0888,126.791,5/4,0.63,0,1
232454,Soul,The Isley Brothers,Mission To Please You,0.69,0.715,0.392,0.0354,B,0.114,-10.873,Minor,0.040999999999999995,88.83,4/4,0.46,0,1
232524,Soul,Bobby Womack,Harry Hippie,0.523,0.387,0.235,3.9899999999999994e-05,E,0.255,-16.647000000000002,Major,0.0371,74.21600000000001,4/4,0.613,0,1
